"","annotation"
"G3.MAA000871.3_11_M.1.1","Amplifying Cell"
"H7.MAA000871.3_11_M.1.1","Amplifying Cell"
"I11.MAA000871.3_11_M.1.1","Amplifying Cell"
"J13.MAA000871.3_11_M.1.1","Enterocyte 1"
"K17.MAA000871.3_11_M.1.1","Enterocyte 1"
"L19.MAA000871.3_11_M.1.1","Goblet Cell 2"
"N1.MAA000871.3_11_M.1.1","Amplifying Cell"
"O4.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"O3.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"P10.MAA000871.3_11_M.1.1","Amplifying Cell"
"P9.MAA000871.3_11_M.1.1","Amplifying Cell"
"B12.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"C14.MAA000871.3_11_M.1.1","Enterocyte 1"
"D16.MAA000871.3_11_M.1.1","Enterocyte 1"
"H8.MAA000871.3_11_M.1.1","Amplifying Cell"
"I12.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"J14.MAA000871.3_11_M.1.1","Enterocyte 1"
"K18.MAA000871.3_11_M.1.1","Amplifying Cell"
"L20.MAA000871.3_11_M.1.1","Goblet Cell 2"
"N2.MAA000871.3_11_M.1.1","Amplifying Cell"
"O5.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"P11.MAA000871.3_11_M.1.1","Amplifying Cell"
"B13.MAA000871.3_11_M.1.1","Enterocyte 1"
"C15.MAA000871.3_11_M.1.1","Enterocyte 1"
"D17.MAA000871.3_11_M.1.1","Enterocyte 1"
"E20.MAA000871.3_11_M.1.1","Amplifying Cell"
"G4.MAA000871.3_11_M.1.1","Amplifying Cell"
"B14.MAA000871.3_11_M.1.1","Enterocyte 1"
"L21.MAA000871.3_11_M.1.1","Goblet Cell 4"
"N3.MAA000871.3_11_M.1.1","Goblet Cell 2"
"O6.MAA000871.3_11_M.1.1","Chromaffin Cell"
"P12.MAA000871.3_11_M.1.1","Amplifying Cell"
"B15.MAA000871.3_11_M.1.1","Enterocyte 1"
"C17.MAA000871.3_11_M.1.1","Enterocyte 1"
"D20.MAA000871.3_11_M.1.1","Amplifying Cell"
"C16.MAA000871.3_11_M.1.1","Amplifying Cell"
"F1.MAA000871.3_11_M.1.1","Amplifying Cell"
"G6.MAA000871.3_11_M.1.1","Amplifying Cell"
"D18.MAA000871.3_11_M.1.1","Amplifying Cell"
"E22.MAA000871.3_11_M.1.1","Amplifying Cell"
"G5.MAA000871.3_11_M.1.1","Amplifying Cell"
"H9.MAA000871.3_11_M.1.1","Amplifying Cell"
"I13.MAA000871.3_11_M.1.1","Enterocyte 1"
"J15.MAA000871.3_11_M.1.1","Enterocyte 1"
"K19.MAA000871.3_11_M.1.1","Amplifying Cell"
"H10.MAA000871.3_11_M.1.1","Goblet Cell 2"
"B16.MAA000871.3_11_M.1.1","Enterocyte 1"
"C18.MAA000871.3_11_M.1.1","Enterocyte 1"
"D21.MAA000871.3_11_M.1.1","Amplifying Cell"
"F2.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"G8.MAA000871.3_11_M.1.1","Goblet Cell 2"
"H11.MAA000871.3_11_M.1.1","Amplifying Cell"
"I14.MAA000871.3_11_M.1.1","Enterocyte 1"
"I15.MAA000871.3_11_M.1.1","Enterocyte 1"
"J17.MAA000871.3_11_M.1.1","Enterocyte 1"
"K21.MAA000871.3_11_M.1.1","Amplifying Cell"
"J16.MAA000871.3_11_M.1.1","Enterocyte 1"
"K20.MAA000871.3_11_M.1.1","Enterocyte 1"
"L22.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"N4.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"O7.MAA000871.3_11_M.1.1","Amplifying Cell"
"P14.MAA000871.3_11_M.1.1","Enterocyte 1"
"M1.MAA000871.3_11_M.1.1","Non-Cycling Undiff. Cell"
"D22.MAA000871.3_11_M.1.1","Amplifying Cell"
"F3.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"G9.MAA000871.3_11_M.1.1","Amplifying Cell"
"H12.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"I16.MAA000871.3_11_M.1.1","Enterocyte 1"
"J18.MAA000871.3_11_M.1.1","Enterocyte 1"
"K22.MAA000871.3_11_M.1.1","Tuft Cell"
"M2.MAA000871.3_11_M.1.1","Amplifying Cell"
"N6.MAA000871.3_11_M.1.1","Goblet Cell 2"
"O9.MAA000871.3_11_M.1.1","Amplifying Cell"
"N5.MAA000871.3_11_M.1.1","Amplifying Cell"
"P17.MAA000871.3_11_M.1.1","Enterocyte 1"
"O8.MAA000871.3_11_M.1.1","Amplifying Cell"
"P16.MAA000871.3_11_M.1.1","Enterocyte 1"
"B17.MAA000871.3_11_M.1.1","Enterocyte 1"
"C19.MAA000871.3_11_M.1.1","Amplifying Cell"
"I17.MAA000871.3_11_M.1.1","Enterocyte 1"
"J19.MAA000871.3_11_M.1.1","Tuft Cell"
"L1.MAA000871.3_11_M.1.1","Amplifying Cell"
"M3.MAA000871.3_11_M.1.1","Amplifying Cell"
"N7.MAA000871.3_11_M.1.1","Amplifying Cell"
"O10.MAA000871.3_11_M.1.1","Amplifying Cell"
"P18.MAA000871.3_11_M.1.1","Amplifying Cell"
"B18.MAA000871.3_11_M.1.1","Amplifying Cell"
"C20.MAA000871.3_11_M.1.1","Tuft Cell"
"E1.MAA000871.3_11_M.1.1","Cycling Undiff. Cell"
"F4.MAA000871.3_11_M.1.1","Goblet Cell 2"
"G10.MAA000871.3_11_M.1.1","Amplifying Cell"
"H13.MAA000871.3_11_M.1.1","Enterocyte 1"
"A22.MAA000909.3_10_M.1.1","Enterocyte 1"
"C4.MAA000909.3_10_M.1.1","Amplifying Cell"
"D8.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"B1.MAA000909.3_10_M.1.1","Chromaffin Cell"
"C5.MAA000909.3_10_M.1.1","Amplifying Cell"
"D9.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"D10.MAA000909.3_10_M.1.1","Amplifying Cell"
"B2.MAA000909.3_10_M.1.1","Amplifying Cell"
"C6.MAA000909.3_10_M.1.1","Amplifying Cell"
"A1.MAA000909.3_10_M.1.1","Amplifying Cell"
"B5.MAA000909.3_10_M.1.1","Goblet Cell 2"
"C8.MAA000909.3_10_M.1.1","Amplifying Cell"
"D12.MAA000909.3_10_M.1.1","Amplifying Cell"
"B3.MAA000909.3_10_M.1.1","Goblet Cell 2"
"C7.MAA000909.3_10_M.1.1","Amplifying Cell"
"D11.MAA000909.3_10_M.1.1","Amplifying Cell"
"A2.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"B6.MAA000909.3_10_M.1.1","Amplifying Cell"
"C9.MAA000909.3_10_M.1.1","Amplifying Cell"
"D13.MAA000909.3_10_M.1.1","Enterocyte 1"
"A3.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"B7.MAA000909.3_10_M.1.1","Amplifying Cell"
"C10.MAA000909.3_10_M.1.1","Amplifying Cell"
"D14.MAA000909.3_10_M.1.1","Enterocyte 1"
"A4.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"B8.MAA000909.3_10_M.1.1","Amplifying Cell"
"C11.MAA000909.3_10_M.1.1","Amplifying Cell"
"D15.MAA000909.3_10_M.1.1","Enterocyte 1"
"A6.MAA000909.3_10_M.1.1","Amplifying Cell"
"B10.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"A5.MAA000909.3_10_M.1.1","Amplifying Cell"
"C13.MAA000909.3_10_M.1.1","Enterocyte 1"
"D17.MAA000909.3_10_M.1.1","Amplifying Cell"
"B9.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"C12.MAA000909.3_10_M.1.1","Goblet Cell 2"
"D16.MAA000909.3_10_M.1.1","Enterocyte 1"
"A7.MAA000909.3_10_M.1.1","Amplifying Cell"
"B11.MAA000909.3_10_M.1.1","Amplifying Cell"
"C14.MAA000909.3_10_M.1.1","Amplifying Cell"
"D18.MAA000909.3_10_M.1.1","Amplifying Cell"
"D20.MAA000909.3_10_M.1.1","Amplifying Cell"
"A8.MAA000909.3_10_M.1.1","Amplifying Cell"
"B12.MAA000909.3_10_M.1.1","Amplifying Cell"
"C15.MAA000909.3_10_M.1.1","Enterocyte 1"
"A10.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"B14.MAA000909.3_10_M.1.1","Enterocyte 1"
"C17.MAA000909.3_10_M.1.1","Enterocyte 1"
"A9.MAA000909.3_10_M.1.1","Amplifying Cell"
"B13.MAA000909.3_10_M.1.1","Enterocyte 1"
"C16.MAA000909.3_10_M.1.1","Enterocyte 1"
"A11.MAA000909.3_10_M.1.1","Amplifying Cell"
"B15.MAA000909.3_10_M.1.1","Enterocyte 1"
"C18.MAA000909.3_10_M.1.1","Amplifying Cell"
"B16.MAA000909.3_10_M.1.1","Enterocyte 1"
"C19.MAA000909.3_10_M.1.1","Amplifying Cell"
"A12.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"A14.MAA000909.3_10_M.1.1","Amplifying Cell"
"A13.MAA000909.3_10_M.1.1","Enterocyte 1"
"B17.MAA000909.3_10_M.1.1","Enterocyte 1"
"C20.MAA000909.3_10_M.1.1","Amplifying Cell"
"B18.MAA000909.3_10_M.1.1","Enterocyte 1"
"D1.MAA000909.3_10_M.1.1","Amplifying Cell"
"A15.MAA000909.3_10_M.1.1","Enterocyte 1"
"B20.MAA000909.3_10_M.1.1","Enterocyte 1"
"D2.MAA000909.3_10_M.1.1","Goblet Cell 2"
"A16.MAA000909.3_10_M.1.1","Enterocyte 1"
"B21.MAA000909.3_10_M.1.1","Amplifying Cell"
"D3.MAA000909.3_10_M.1.1","Amplifying Cell"
"A17.MAA000909.3_10_M.1.1","Enterocyte 1"
"B22.MAA000909.3_10_M.1.1","Amplifying Cell"
"D4.MAA000909.3_10_M.1.1","Amplifying Cell"
"A18.MAA000909.3_10_M.1.1","Amplifying Cell"
"C1.MAA000909.3_10_M.1.1","Amplifying Cell"
"D5.MAA000909.3_10_M.1.1","Amplifying Cell"
"A19.MAA000909.3_10_M.1.1","Amplifying Cell"
"A21.MAA000909.3_10_M.1.1","Amplifying Cell"
"C3.MAA000909.3_10_M.1.1","Goblet Cell 2"
"C2.MAA000909.3_10_M.1.1","Amplifying Cell"
"D7.MAA000909.3_10_M.1.1","Amplifying Cell"
"E11.MAA000909.3_10_M.1.1","Amplifying Cell"
"D6.MAA000909.3_10_M.1.1","Amplifying Cell"
"P19.MAA000909.3_10_M.1.1","Tuft Cell"
"E12.MAA000909.3_10_M.1.1","Amplifying Cell"
"F14.MAA000909.3_10_M.1.1","Enterocyte 1"
"G17.MAA000909.3_10_M.1.1","Enterocyte 1"
"H19.MAA000909.3_10_M.1.1","Enterocyte 1"
"G16.MAA000909.3_10_M.1.1","Enterocyte 1"
"I21.MAA000909.3_10_M.1.1","Amplifying Cell"
"K2.MAA000909.3_10_M.1.1","Amplifying Cell"
"L7.MAA000909.3_10_M.1.1","Amplifying Cell"
"H18.MAA000909.3_10_M.1.1","Tuft Cell"
"I20.MAA000909.3_10_M.1.1","Amplifying Cell"
"K1.MAA000909.3_10_M.1.1","Amplifying Cell"
"L6.MAA000909.3_10_M.1.1","Amplifying Cell"
"N12.MAA000909.3_10_M.1.1","Cycling Undiff. Cell"
"O16.MAA000909.3_10_M.1.1","Amplifying Cell"
"M11.MAA000909.3_10_M.1.1","Amplifying Cell"
"E13.MAA000909.3_10_M.1.1","Enterocyte 1"
"F15.MAA000909.3_10_M.1.1","Enterocyte 1"
"G18.MAA000909.3_10_M.1.1","Amplifying Cell"
"H20.MAA000909.3_10_M.1.1","Amplifying Cell"
"I22.MAA000909.3_10_M.1.1","Chromaffin Cell"
"K3.MAA000909.3_10_M.1.1","Amplifying Cell"
"L8.MAA000909.3_10_M.1.1","Amplifying Cell"
"M12.MAA000909.3_10_M.1.1","Amplifying Cell"
"N14.MAA000909.3_10_M.1.1","Enterocyte 1"
"O18.MAA000909.3_10_M.1.1","Goblet Cell 2"
"N13.MAA000909.3_10_M.1.1","Enterocyte 1"
"P21.MAA000909.3_10_M.1.1","Amplifying Cell"
"O17.MAA000909.3_10_M.1.1","Enterocyte 1"
"P20.MAA000909.3_10_M.1.1","Amplifying Cell"
"K4.MAA000909.3_10_M.1.1","Amplifying Cell"
"L10.MAA000909.3_10_M.1.1","Amplifying Cell"
"M13.MAA000909.3_10_M.1.1","Amplifying Cell"
"N15.MAA000909.3_10_M.1.1","Enterocyte 1"
"O19.MAA000909.3_10_M.1.1","Enterocyte 1"
"P22.MAA000909.3_10_M.1.1","Amplifying Cell"
"E15.MAA000909.3_10_M.1.1","Enterocyte 1"
"F17.MAA000909.3_10_M.1.1","Enterocyte 1"
"E14.MAA000909.3_10_M.1.1","Enterocyte 1"
"F16.MAA000909.3_10_M.1.1","Enterocyte 1"
"G19.MAA000909.3_10_M.1.1","Amplifying Cell"
"H21.MAA000909.3_10_M.1.1","Enterocyte 1"
"J1.MAA000909.3_10_M.1.1","Amplifying Cell"
"G20.MAA000909.3_10_M.1.1","Goblet Cell 4"
"E16.MAA000909.3_10_M.1.1","Enterocyte 1"
"F18.MAA000909.3_10_M.1.1","Amplifying Cell"
"G21.MAA000909.3_10_M.1.1","Amplifying Cell"
"I1.MAA000909.3_10_M.1.1","Amplifying Cell"
"H22.MAA000909.3_10_M.1.1","Amplifying Cell"
"K6.MAA000909.3_10_M.1.1","Goblet Cell 2"
"L12.MAA000909.3_10_M.1.1","Amplifying Cell"
"M15.MAA000909.3_10_M.1.1","Enterocyte 1"
"J2.MAA000909.3_10_M.1.1","Amplifying Cell"
"K5.MAA000909.3_10_M.1.1","Amplifying Cell"
"L11.MAA000909.3_10_M.1.1","Goblet Cell 2"
"M14.MAA000909.3_10_M.1.1","Enterocyte 1"
"O21.MAA000909.3_10_M.1.1","Enterocyte 1"
"N17.MAA000909.3_10_M.1.1","Enterocyte 1"
"F19.MAA000909.3_10_M.1.1","Amplifying Cell"
"G22.MAA000909.3_10_M.1.1","Amplifying Cell"
"J4.MAA000909.3_10_M.1.1","Enterocyte 1"
"K7.MAA000909.3_10_M.1.1","Amplifying Cell"
"L13.MAA000909.3_10_M.1.1","Enterocyte 1"
"M16.MAA000909.3_10_M.1.1","Enterocyte 1"
"N18.MAA000909.3_10_M.1.1","Tuft Cell"
"P1.MAA000909.3_10_M.1.1","Amplifying Cell"
"O22.MAA000909.3_10_M.1.1","Amplifying Cell"
"E17.MAA000909.3_10_M.1.1","Enterocyte 1"
"M17.MAA000909.3_10_M.1.1","Enterocyte 1"
"N19.MAA000909.3_10_M.1.1","Amplifying Cell"
"P2.MAA000909.3_10_M.1.1","Amplifying Cell"
"E19.MAA000909.3_10_M.1.1","Enterocyte 1"
"F21.MAA000909.3_10_M.1.1","Amplifying Cell"
"H2.MAA000909.3_10_M.1.1","Amplifying Cell"
"E18.MAA000909.3_10_M.1.1","Amplifying Cell"
"F20.MAA000909.3_10_M.1.1","Enterocyte 1"
"H1.MAA000909.3_10_M.1.1","Amplifying Cell"
"I3.MAA000909.3_10_M.1.1","Goblet Cell 2"
"K8.MAA000909.3_10_M.1.1","Amplifying Cell"
"L14.MAA000909.3_10_M.1.1","Enterocyte 1"
"I4.MAA000909.3_10_M.1.1","Amplifying Cell"
"E20.MAA000909.3_10_M.1.1","Enterocyte 1"
"F22.MAA000909.3_10_M.1.1","Enterocyte 1"
"H3.MAA000909.3_10_M.1.1","Amplifying Cell"
"I5.MAA000909.3_10_M.1.1","Amplifying Cell"
"J6.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"K11.MAA000909.3_10_M.1.1","Goblet Cell 2"
"K9.MAA000909.3_10_M.1.1","Amplifying Cell"
"L15.MAA000909.3_10_M.1.1","Enterocyte 1"
"M18.MAA000909.3_10_M.1.1","Enterocyte 1"
"N21.MAA000909.3_10_M.1.1","Amplifying Cell"
"P3.MAA000909.3_10_M.1.1","Amplifying Cell"
"L16.MAA000909.3_10_M.1.1","Enterocyte 1"
"E21.MAA000909.3_10_M.1.1","Amplifying Cell"
"G1.MAA000909.3_10_M.1.1","Amplifying Cell"
"I6.MAA000909.3_10_M.1.1","Amplifying Cell"
"J8.MAA000909.3_10_M.1.1","Amplifying Cell"
"L17.MAA000909.3_10_M.1.1","Enterocyte 1"
"M19.MAA000909.3_10_M.1.1","Amplifying Cell"
"M20.MAA000909.3_10_M.1.1","Enterocyte 1"
"O1.MAA000909.3_10_M.1.1","Amplifying Cell"
"P5.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"N22.MAA000909.3_10_M.1.1","Amplifying Cell"
"P4.MAA000909.3_10_M.1.1","Amplifying Cell"
"I7.MAA000909.3_10_M.1.1","Amplifying Cell"
"J9.MAA000909.3_10_M.1.1","Amplifying Cell"
"K13.MAA000909.3_10_M.1.1","Enterocyte 1"
"L18.MAA000909.3_10_M.1.1","Amplifying Cell"
"M21.MAA000909.3_10_M.1.1","Enterocyte 1"
"O2.MAA000909.3_10_M.1.1","Amplifying Cell"
"P6.MAA000909.3_10_M.1.1","Amplifying Cell"
"E22.MAA000909.3_10_M.1.1","Amplifying Cell"
"G2.MAA000909.3_10_M.1.1","Amplifying Cell"
"H5.MAA000909.3_10_M.1.1","Amplifying Cell"
"F1.MAA000909.3_10_M.1.1","Amplifying Cell"
"P7.MAA000909.3_10_M.1.1","Amplifying Cell"
"D22.MAA000909.3_10_M.1.1","Enterocyte 1"
"F2.MAA000909.3_10_M.1.1","Amplifying Cell"
"G5.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"G4.MAA000909.3_10_M.1.1","Amplifying Cell"
"H7.MAA000909.3_10_M.1.1","Amplifying Cell"
"I9.MAA000909.3_10_M.1.1","Amplifying Cell"
"I8.MAA000909.3_10_M.1.1","Amplifying Cell"
"J10.MAA000909.3_10_M.1.1","Amplifying Cell"
"K14.MAA000909.3_10_M.1.1","Enterocyte 1"
"L20.MAA000909.3_10_M.1.1","Enterocyte 1"
"M22.MAA000909.3_10_M.1.1","Amplifying Cell"
"O3.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"F3.MAA000909.3_10_M.1.1","Amplifying Cell"
"G6.MAA000909.3_10_M.1.1","Amplifying Cell"
"H8.MAA000909.3_10_M.1.1","Amplifying Cell"
"I10.MAA000909.3_10_M.1.1","Goblet Cell 2"
"J12.MAA000909.3_10_M.1.1","Amplifying Cell"
"K16.MAA000909.3_10_M.1.1","Enterocyte 1"
"K15.MAA000909.3_10_M.1.1","Enterocyte 1"
"L22.MAA000909.3_10_M.1.1","Amplifying Cell"
"L21.MAA000909.3_10_M.1.1","Amplifying Cell"
"N1.MAA000909.3_10_M.1.1","Amplifying Cell"
"O4.MAA000909.3_10_M.1.1","Amplifying Cell"
"P8.MAA000909.3_10_M.1.1","Amplifying Cell"
"O5.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"G7.MAA000909.3_10_M.1.1","Amplifying Cell"
"I11.MAA000909.3_10_M.1.1","Amplifying Cell"
"J13.MAA000909.3_10_M.1.1","Enterocyte 1"
"K17.MAA000909.3_10_M.1.1","Enterocyte 1"
"N3.MAA000909.3_10_M.1.1","Amplifying Cell"
"O7.MAA000909.3_10_M.1.1","Amplifying Cell"
"P10.MAA000909.3_10_M.1.1","Amplifying Cell"
"P9.MAA000909.3_10_M.1.1","Amplifying Cell"
"E2.MAA000909.3_10_M.1.1","Amplifying Cell"
"I12.MAA000909.3_10_M.1.1","Amplifying Cell"
"J14.MAA000909.3_10_M.1.1","Enterocyte 1"
"K18.MAA000909.3_10_M.1.1","Enterocyte 1"
"N4.MAA000909.3_10_M.1.1","Amplifying Cell"
"O8.MAA000909.3_10_M.1.1","Amplifying Cell"
"P11.MAA000909.3_10_M.1.1","Goblet Cell 2"
"E3.MAA000909.3_10_M.1.1","Amplifying Cell"
"G8.MAA000909.3_10_M.1.1","Amplifying Cell"
"J15.MAA000909.3_10_M.1.1","Enterocyte 1"
"K19.MAA000909.3_10_M.1.1","Amplifying Cell"
"O9.MAA000909.3_10_M.1.1","Amplifying Cell"
"P12.MAA000909.3_10_M.1.1","Amplifying Cell"
"E4.MAA000909.3_10_M.1.1","Goblet Cell 2"
"F6.MAA000909.3_10_M.1.1","Amplifying Cell"
"G9.MAA000909.3_10_M.1.1","Amplifying Cell"
"H11.MAA000909.3_10_M.1.1","Amplifying Cell"
"I13.MAA000909.3_10_M.1.1","Enterocyte 1"
"K21.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"M4.MAA000909.3_10_M.1.1","Amplifying Cell"
"P13.MAA000909.3_10_M.1.1","Enterocyte 1"
"E5.MAA000909.3_10_M.1.1","Amplifying Cell"
"F7.MAA000909.3_10_M.1.1","Amplifying Cell"
"G10.MAA000909.3_10_M.1.1","Amplifying Cell"
"H12.MAA000909.3_10_M.1.1","Amplifying Cell"
"I14.MAA000909.3_10_M.1.1","Enterocyte 1"
"J17.MAA000909.3_10_M.1.1","Enterocyte 1"
"E6.MAA000909.3_10_M.1.1","Amplifying Cell"
"M5.MAA000909.3_10_M.1.1","Amplifying Cell"
"O11.MAA000909.3_10_M.1.1","Amplifying Cell"
"P14.MAA000909.3_10_M.1.1","Amplifying Cell"
"G11.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"I15.MAA000909.3_10_M.1.1","Enterocyte 1"
"J18.MAA000909.3_10_M.1.1","Enterocyte 1"
"L1.MAA000909.3_10_M.1.1","Amplifying Cell"
"I16.MAA000909.3_10_M.1.1","Enterocyte 1"
"J19.MAA000909.3_10_M.1.1","Amplifying Cell"
"L2.MAA000909.3_10_M.1.1","Amplifying Cell"
"N8.MAA000909.3_10_M.1.1","Amplifying Cell"
"O12.MAA000909.3_10_M.1.1","Amplifying Cell"
"P15.MAA000909.3_10_M.1.1","Enterocyte 1"
"F9.MAA000909.3_10_M.1.1","Amplifying Cell"
"G12.MAA000909.3_10_M.1.1","Amplifying Cell"
"H14.MAA000909.3_10_M.1.1","Enterocyte 1"
"G13.MAA000909.3_10_M.1.1","Enterocyte 1"
"H15.MAA000909.3_10_M.1.1","Enterocyte 1"
"I17.MAA000909.3_10_M.1.1","Enterocyte 1"
"J20.MAA000909.3_10_M.1.1","Amplifying Cell"
"F10.MAA000909.3_10_M.1.1","Amplifying Cell"
"L3.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"P16.MAA000909.3_10_M.1.1","Amplifying Cell"
"E9.MAA000909.3_10_M.1.1","Non-Cycling Undiff. Cell"
"O13.MAA000909.3_10_M.1.1","Enterocyte 1"
"F11.MAA000909.3_10_M.1.1","Amplifying Cell"
"O14.MAA000909.3_10_M.1.1","Enterocyte 1"
"P17.MAA000909.3_10_M.1.1","Enterocyte 1"
"G14.MAA000909.3_10_M.1.1","Enterocyte 1"
"H16.MAA000909.3_10_M.1.1","Enterocyte 1"
"I18.MAA000909.3_10_M.1.1","Amplifying Cell"
"J21.MAA000909.3_10_M.1.1","Chromaffin Cell"
"L4.MAA000909.3_10_M.1.1","Amplifying Cell"
"M8.MAA000909.3_10_M.1.1","Amplifying Cell"
"N10.MAA000909.3_10_M.1.1","Amplifying Cell"
"F12.MAA000909.3_10_M.1.1","Amplifying Cell"
"G15.MAA000909.3_10_M.1.1","Enterocyte 1"
"H17.MAA000909.3_10_M.1.1","Enterocyte 1"
"I19.MAA000909.3_10_M.1.1","Enterocyte 1"
"J22.MAA000909.3_10_M.1.1","Amplifying Cell"
"O15.MAA000909.3_10_M.1.1","Enterocyte 1"
"P18.MAA000909.3_10_M.1.1","Amplifying Cell"
"L5.MAA000909.3_10_M.1.1","Amplifying Cell"
"M9.MAA000909.3_10_M.1.1","Tuft Cell"
"N11.MAA000909.3_10_M.1.1","Amplifying Cell"
"B12.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C20.MAA000937.3_8_M.1.1","Enterocyte 2"
"E7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G1.MAA000937.3_8_M.1.1","Goblet Cell 1"
"H8.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"L2.MAA000937.3_8_M.1.1","Goblet Cell 1"
"N8.MAA000937.3_8_M.1.1","Goblet Cell 1"
"J3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B14.MAA000937.3_8_M.1.1","Goblet Cell 4"
"C21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E8.MAA000937.3_8_M.1.1","Goblet Cell 1"
"G2.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H9.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"J4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"N10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"O21.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B16.MAA000937.3_8_M.1.1","Enterocyte 2"
"J6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"L17.MAA000937.3_8_M.1.1","Enterocyte 2"
"N13.MAA000937.3_8_M.1.1","Enterocyte 2"
"C22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E9.MAA000937.3_8_M.1.1","Amplifying Cell"
"G3.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H11.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"G4.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H16.MAA000937.3_8_M.1.1","Enterocyte 1"
"J7.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B17.MAA000937.3_8_M.1.1","Enterocyte 2"
"D1.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"N14.MAA000937.3_8_M.1.1","Enterocyte 2"
"A7.MAA000937.3_8_M.1.1","Amplifying Cell"
"B18.MAA000937.3_8_M.1.1","Goblet Cell 1"
"D2.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"E11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"P1.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P3.MAA000937.3_8_M.1.1","Goblet Cell 1"
"G5.MAA000937.3_8_M.1.1","Goblet Cell 1"
"H18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J10.MAA000937.3_8_M.1.1","Goblet Cell 1"
"L21.MAA000937.3_8_M.1.1","Goblet Cell 1"
"N17.MAA000937.3_8_M.1.1","Enterocyte 2"
"D3.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G6.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A10.MAA000937.3_8_M.1.1","Cycling Undiff. Cell"
"L22.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N18.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P4.MAA000937.3_8_M.1.1","Enterocyte 2"
"H19.MAA000937.3_8_M.1.1","Enterocyte 2"
"J12.MAA000937.3_8_M.1.1","Goblet Cell 1"
"A11.MAA000937.3_8_M.1.1","Goblet Cell 1"
"B20.MAA000937.3_8_M.1.1","Non-Cycling Undiff. Cell"
